id,weight_decay,batch_size,reward,dataset,dropout_ratio,lr,edge_ratio,pooling_ratio,num_layers,K
IztO3,0,256,0.751207729468599,NCI109,0,0.001,0.6679952342656046,0.5183459223270533,4,3
PaVYX,0,256,0.7415458937198067,NCI109,0,0.001,0.4704346284648655,0.2839430706255476,4,3
s4Vnr,0,256,0.7971014492753623,NCI109,0,0.001,0.5209191687002785,0.7867566605177106,4,3
FxU7I,0,256,0.7632850241545893,NCI109,0,0.001,0.5894502533400577,0.5186593949116405,4,3
K3L2l,0,256,0.7874396135265701,NCI109,0,0.001,0.5181995386670489,0.6637973524918461,4,3
d06Ni,0,256,0.7415458937198067,NCI109,0,0.001,0.3356866418258457,0.2856365066858719,4,3
FIzhX,0,256,0.7801932367149759,NCI109,0,0.001,0.40706933744655266,0.7869217114705713,4,3
sM9DH,0,256,0.7777777777777778,NCI109,0,0.001,0.5266887520984728,0.2714377681137373,4,3
jkAWh,0,256,0.782608695652174,NCI109,0,0.001,0.5198957141803258,0.7834788479292178,4,3
NkIPt,0,256,0.751207729468599,NCI109,0,0.001,0.5244068177741628,0.2989214066845235,4,3
Q93cr,0,256,0.7922705314009661,NCI109,0,0.001,0.47617138943190124,0.6678590417147644,4,4
V8lGy,0,256,0.7729468599033816,NCI109,0,0.001,0.5146395892719952,0.789008669646444,4,4
UEp1r,0,256,0.7584541062801933,NCI109,0,0.001,0.47099154254553277,0.7849357598367829,6,3
DnS2O,0,256,0.7753623188405797,NCI109,0,0.001,0.5189702345960314,0.789088547587959,6,3
Z5wjC,0,256,0.8067632850241546,NCI109,0,0.001,0.5101626017287444,0.751315541808668,4,4
N4VB4,0,256,0.7898550724637681,NCI109,0,0.001,0.5276655835244073,0.7903569796693873,4,3
vH2ij,0,256,0.7632850241545893,NCI109,0,0.001,0.5232006048279132,0.5199200031846754,4,3
AbLc8,0,256,0.7922705314009661,NCI109,0,0.001,0.9530462439559212,0.7863803031005911,4,3
AAgJN,0,256,0.785024154589372,NCI109,0,0.001,0.9450297057892907,0.7877468965729846,4,3
Jzooe,0,256,0.7777777777777778,NCI109,0,0.001,0.8023302766450056,0.7142832574230255,4,3
C4MGb,0,256,0.7753623188405797,NCI109,0,0.001,0.8078418705075829,0.6199292373070825,4,3
qop9X,0,256,0.7874396135265701,NCI109,0,0.001,0.7332788113056901,0.623442656039841,4,3
O1VFt,0,256,0.8067632850241546,NCI109,0,0.001,0.8015491059873527,0.6637350855832873,4,3
wUWMI,0,256,0.785024154589372,NCI109,0,0.001,0.7976247276918618,0.6188257626063794,4,3
O1CZZ,0,256,0.7463768115942029,NCI109,0,0.001,0.9554813476060885,0.3924774810294405,4,3
S6gGa,0,256,0.782608695652174,NCI109,0,0.001,0.8013910862109274,0.6184247845764707,4,3
gUU58,0,256,0.8043478260869565,NCI109,0,0.001,0.7965944298465077,0.5903575351271393,4,3
