dataset,pooling_ratio,batch_size,lr,weight_decay,id,reward,num_layers,dropout_ratio,K
PROTEINS,0.6496926255122041,64,0.001,0,WIAke,0.8035714285714286,2,0.15694845711168326,2
PROTEINS,0.6276769402601212,64,0.001,0,FcmrR,0.8214285714285714,2,0.044395007512254364,2
PROTEINS,0.6263696334356337,64,0.001,0,GCOam,0.7857142857142857,6,0.5757976931701074,2
PROTEINS,0.6626884158575981,64,0.001,0,B4P1i,0.8482142857142857,6,0.49112455937081434,2
PROTEINS,0.663919610703682,64,0.001,0,f4bSk,0.8214285714285714,6,0.7442827111935479,2
PROTEINS,0.6650945095938573,64,0.001,0,FuMhq,0.8214285714285714,6,0.5882572724519302,2
PROTEINS,0.6503896752578685,64,0.001,0,paw7k,0.8392857142857143,6,0.5803465702674201,2
PROTEINS,0.6871948173922309,64,0.001,0,azorH,0.7767857142857143,6,0.0373304657407803,2
PROTEINS,0.6633411192642376,64,0.001,0,nWKlQ,0.8125,6,0.05352444727734895,2
PROTEINS,0.6576260076084578,64,0.001,0,MT6Ws,0.8125,3,0.4938156384233535,4
PROTEINS,0.6626477548801464,64,0.001,0,TO5v2,0.8125,3,0.49304359331424197,4
PROTEINS,0.6570657118088586,64,0.001,0,lgwhk,0.8214285714285714,2,0.14874702285877117,4
PROTEINS,0.659865235755094,64,0.001,0,MtyD3,0.8392857142857143,2,0.028493467276990758,4
PROTEINS,0.671129177424951,64,0.001,0,ATKay,0.8035714285714286,3,0.12834428031290018,4
PROTEINS,0.6722876329030295,64,0.001,0,jf7Nt,0.8303571428571429,3,0.1461713359881885,4
PROTEINS,0.6678999305047564,64,0.001,0,JRsxi,0.7678571428571429,3,0.1336465323712276,1
PROTEINS,0.6621783436404597,64,0.001,0,bW2iT,0.8303571428571429,3,0.03389844796596163,4
PROTEINS,0.6703237013429022,64,0.001,0,adRkP,0.8214285714285714,3,0.660858071750859,4
PROTEINS,0.6713359898543257,64,0.001,0,qrazB,0.7946428571428571,3,0.028551230197097453,4
PROTEINS,0.656697573712904,64,0.001,0,ke8Kt,0.8392857142857143,3,0.020522014390801625,4
PROTEINS,0.6560773422305173,64,0.001,0,tEnwY,0.8214285714285714,3,0.049326872311844426,4
PROTEINS,0.6440894992702915,64,0.001,0,smRzi,0.8214285714285714,3,0.02431378609243512,4
PROTEINS,0.6800375766564968,64,0.001,0,OOUQv,0.7946428571428571,2,0.021039992797331583,2
PROTEINS,0.34514194324430403,64,0.001,0,vHzBe,0.8303571428571429,3,0.035408111645306994,4
PROTEINS,0.6746809844324182,64,0.001,0,S6jP3,0.7142857142857143,3,0.7435039688309559,4
PROTEINS,0.6630880146913848,64,0.001,0,YM6KT,0.8303571428571429,3,0.025152283417709864,4
PROTEINS,0.6550135022799989,64,0.001,0,kxPtz,0.8303571428571429,3,0.04684478083362904,4
